Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
138,-15,0.5032248303978422,92,1,46,46,60.0
139,13,0.500708706245853,64,1,31,33,60.0
140,39,0.4982051627146237,38,1,16,22,60.0
141,38,0.49571413690105054,39,1,24,15,60.0
142,52,0.4932355662165453,25,1,10,15,60.0
143,44,0.4907693883854626,33,1,12,21,60.0
144,-172,0.4883155414435353,249,1,124,125,60.0
145,40,0.4858739637363176,37,1,15,22,60.0
146,44,0.483444593917636,33,1,17,16,60.0
147,21,0.4810273709480478,56,1,27,29,60.0
148,40,0.47862223409330756,37,1,23,14,60.0
149,27,0.47622912292284103,50,1,17,33,60.0
150,55,0.4738479773082268,22,1,6,16,60.0
151,16,0.47147873742168567,61,1,32,29,60.0
152,-73,0.46912134373457726,150,1,76,74,60.0
153,24,0.46677573701590436,53,1,25,28,60.0
154,27,0.46444185833082485,50,1,20,30,60.0
155,-23,0.46211964903917074,100,1,45,55,60.0
156,-15,0.4598090507939749,92,1,47,45,60.0
157,44,0.457510005540005,33,1,14,19,60.0
158,38,0.45522245551230495,39,1,18,21,60.0
159,36,0.4529463432347434,41,1,15,26,60.0
160,54,0.4506816115185697,23,1,8,15,60.0
161,21,0.4484282034609769,56,1,25,31,63.18731874876235
162,23,0.446186062443672,54,1,22,32,60.0
163,23,0.4439551321314536,54,1,24,30,60.0
164,49,0.4417353564707963,28,1,11,17,61.2334297957873
165,-1,0.43952667968844233,78,1,32,46,60.0
166,40,0.43732904629000013,37,1,15,22,60.0
167,36,0.4351424010585501,41,1,17,24,60.24946610773527
168,32,0.43296668905325736,45,1,19,26,60.62879537485827
169,24,0.43080185560799106,53,1,22,31,62.5190730790985
170,24,0.4286478463299511,53,1,24,29,61.19216710704019
171,16,0.42650460709830135,61,1,33,28,60.267916919367636
172,46,0.42437208406280985,31,1,12,19,65.14430749783605
173,39,0.4222502236424958,38,1,16,22,61.13031026625404
174,-9,0.42013897252428334,86,1,40,46,60.0
